city_id,city_name,state_name,state_abbrev,lat,lng
390,North Charleston,South Carolina,SC,32.9066,-80.0722
391,St. Cloud,Minnesota,MN,45.5339,-94.1718
392,Temecula,California,CA,33.4928,-117.1315
393,Clovis,California,CA,36.8278,-119.6831
394,Meridian,Idaho,ID,43.6112,-116.3968
395,The Woodlands,Texas,TX,30.1738,-95.5134
396,Ponce,Puerto Rico,PR,18.012,-66.6198
397,Westminster,Colorado,CO,39.8837,-105.0624
398,Costa Mesa,California,CA,33.6667,-117.9135
399,Monroe,Louisiana,LA,32.5183,-92.0774
400,Utica,New York,NY,43.0961,-75.226
401,Pompano Beach,Florida,FL,26.2428,-80.1312
402,West Palm Beach,Florida,FL,26.7468,-80.1316
403,Waterloo,Iowa,IA,42.492,-92.3522
404,Everett,Washington,WA,47.9525,-122.1669
405,El Centro,California,CA,32.7867,-115.5586
406,Santa Fe,New Mexico,NM,35.6619,-105.9819
407,Downey,California,CA,33.9379,-118.1312
408,Spring Hill,Florida,FL,28.4797,-82.53
409,Lowell,Massachusetts,MA,42.6389,-71.3217
410,Centennial,Colorado,CO,39.5926,-104.8674
411,Elgin,Illinois,IL,42.0385,-88.3229
412,Richmond,California,CA,37.9477,-122.339
413,Broken Arrow,Oklahoma,OK,36.0365,-95.7809
414,Miami Gardens,Florida,FL,25.9433,-80.2426
415,Bend,Oregon,OR,44.0562,-121.3087
416,Burlington,Vermont,VT,44.4877,-73.2314
417,Jurupa Valley,California,CA,34.001,-117.4705
418,Sandy Springs,Georgia,GA,33.9366,-84.3703
419,Gresham,Oregon,OR,45.5023,-122.4413
420,Lewisville,Texas,TX,33.0452,-96.9823
421,Hillsboro,Oregon,OR,45.5272,-122.9361
422,San Buenaventura,California,CA,34.2741,-119.2314
423,Jacksonville,North Carolina,NC,34.7288,-77.3941
424,Pottstown,Pennsylvania,PA,40.2507,-75.6444
425,Inglewood,California,CA,33.9566,-118.3444
426,League City,Texas,TX,29.4873,-95.1087
427,Eau Claire,Wisconsin,WI,44.8199,-91.4949
428,Turlock,California,CA,37.5053,-120.8588
429,Temple,Texas,TX,31.1076,-97.3894
430,Sioux City,Iowa,IA,42.4959,-96.3901
431,Salisbury,Maryland,MD,38.3756,-75.5867
432,Davie,Florida,FL,26.0789,-80.287
433,Daly City,California,CA,37.6862,-122.4685
434,Highlands Ranch,Colorado,CO,39.5419,-104.9708
435,Allen,Texas,TX,33.1088,-96.6735
436,West Covina,California,CA,34.0555,-117.9112
437,Sparks,Nevada,NV,39.5729,-119.7157
438,Wichita Falls,Texas,TX,33.9072,-98.5291
439,San Mateo,California,CA,37.5521,-122.3122
440,Columbia,Maryland,MD,39.2004,-76.859
441,Norwalk,California,CA,33.9069,-118.0829
442,Rialto,California,CA,34.1174,-117.3894
443,Manteca,California,CA,37.7927,-121.2264
444,Arden-Arcade,California,CA,38.6034,-121.381
445,El Cajon,California,CA,32.8017,-116.9605
446,Burbank,California,CA,34.1879,-118.3235
447,Longmont,Colorado,CO,40.1686,-105.1005
448,Renton,Washington,WA,47.4784,-122.1919
449,Vista,California,CA,33.1896,-117.2386
450,Logan,Utah,UT,41.74,-111.8419
